Frame,Timestamp,Raw Occupancy (%),Smoothed Occupancy (%),Traffic Level,Vehicles in ROI
230,2026-07-12 15:26:22.924,0.0,0.76,Low,0
231,2026-07-12 15:26:23.020,0.0,0.76,Low,0
232,2026-07-12 15:26:23.111,0.0,0.76,Low,0
233,2026-07-12 15:26:23.210,0.0,0.76,Low,0
234,2026-07-12 15:26:23.311,0.0,0.76,Low,0
235,2026-07-12 15:26:23.401,0.0,0.76,Low,0
236,2026-07-12 15:26:23.492,0.0,0.76,Low,0
237,2026-07-12 15:26:23.582,0.0,0.76,Low,0
238,2026-07-12 15:26:23.672,0.0,0.76,Low,0
239,2026-07-12 15:26:23.761,0.0,0.76,Low,0
240,2026-07-12 15:26:23.856,0.0,0.76,Low,0
241,2026-07-12 15:26:23.961,0.0,0.76,Low,0
242,2026-07-12 15:26:24.057,0.0,0.0,Low,0
243,2026-07-12 15:26:24.152,0.0,0.0,Low,0
244,2026-07-12 15:26:24.233,0.0,0.0,Low,0
245,2026-07-12 15:26:24.325,0.0,0.0,Low,0
246,2026-07-12 15:26:24.415,0.0,0.0,Low,0
247,2026-07-12 15:26:24.505,0.0,0.0,Low,0
248,2026-07-12 15:26:24.590,0.0,0.0,Low,0
249,2026-07-12 15:26:24.681,0.0,0.0,Low,0
250,2026-07-12 15:26:24.773,0.0,0.0,Low,0
251,2026-07-12 15:26:24.867,0.0,0.0,Low,0
252,2026-07-12 15:26:24.973,0.0,0.0,Low,0
253,2026-07-12 15:26:25.068,0.0,0.0,Low,0
254,2026-07-12 15:26:25.154,0.0,0.0,Low,0
255,2026-07-12 15:26:25.243,0.0,0.0,Low,0
256,2026-07-12 15:26:25.365,0.0,0.0,Low,0
257,2026-07-12 15:26:25.459,0.0,0.0,Low,0
258,2026-07-12 15:26:25.555,0.0,0.0,Low,0
259,2026-07-12 15:26:25.652,0.0,0.0,Low,0
260,2026-07-12 15:26:25.744,0.0,0.0,Low,0
261,2026-07-12 15:26:25.839,0.0,0.0,Low,0
262,2026-07-12 15:26:25.930,0.0,0.0,Low,0
263,2026-07-12 15:26:26.022,0.0,0.0,Low,0
264,2026-07-12 15:26:26.116,0.0,0.0,Low,0
265,2026-07-12 15:26:26.204,0.0,0.0,Low,0
266,2026-07-12 15:26:26.291,0.0,0.0,Low,0
267,2026-07-12 15:26:26.407,0.0,0.0,Low,0
268,2026-07-12 15:26:26.498,0.0,0.0,Low,0
269,2026-07-12 15:26:26.592,0.0,0.0,Low,0
270,2026-07-12 15:26:26.694,0.0,0.0,Low,0
271,2026-07-12 15:26:26.796,0.0,0.0,Low,0
272,2026-07-12 15:26:26.918,0.0,0.0,Low,0
273,2026-07-12 15:26:27.039,0.0,0.0,Low,0
274,2026-07-12 15:26:27.135,0.0,0.0,Low,0
275,2026-07-12 15:26:27.231,0.0,0.0,Low,0
276,2026-07-12 15:26:27.363,0.0,0.0,Low,0
277,2026-07-12 15:26:27.458,0.0,0.0,Low,0
278,2026-07-12 15:26:27.549,0.0,0.0,Low,0
279,2026-07-12 15:26:27.643,0.0,0.0,Low,0
280,2026-07-12 15:26:27.761,0.0,0.0,Low,0
281,2026-07-12 15:26:27.873,0.0,0.0,Low,0
282,2026-07-12 15:26:27.970,0.0,0.0,Low,0
283,2026-07-12 15:26:28.060,0.0,0.0,Low,0
284,2026-07-12 15:26:28.144,0.0,0.0,Low,0
285,2026-07-12 15:26:28.227,0.0,0.0,Low,0
286,2026-07-12 15:26:28.316,0.0,0.0,Low,0
287,2026-07-12 15:26:28.420,0.0,0.0,Low,0
